1,1848
2,Alter Eco Bio & Equitable
3,Arko Confiserie
4,Auchan
5,Beletti 1882
6,Bernard Castelain Artisan Chocolatier
7,Bellarom
8,Cachet
9,Caffarel Eccellenza Piemontese
10,Cailler of Switzerland
11,Carrefour
12,Casino
13,Cémoi (Chocolatier Français)
14,Choceur
15,Continente Gourmet
16,Coop Naturaplan
17,Côte d'Or
18,E. Wedel
19,Elysia
20,Ethiquable Commerce équitable
21,Feodora
22,Foullon
23,Frey
24,Galler Chocolatier
25,Godiva Chocolatier
26,Gorenjka
27,Hachez Chocolatier
28,Heidi Grand'Or
29,Jubilen
30,K Plus
31,Katy Exquisite
32,Kraš
33,Lauenstein Confiserie
34,Lindt & Sprűngli
35,Marks & Spencer (Swiss Chocolate)
36,Marquise de Sévigné Paris
37,Me to You
38,Mercator Premium
39,Migros
40,Milka
41,Monoprix Gourmet
42,Mövenpick of Switzerland
43,Nestlé Grand Chocolat
44,New Tree
45,Novi Cioccolato
46,Perugina l'Arte del Gusto
47,Pingo Doce
48,Poccur
49,Raüsch Plantagen Schokolade
50,La Route des Alpes Original Chocolat Suisse
51,Sainsbury's (Taste the Difference)
52,Sarotti
53,Schoggi Mail
54,Schwermer Chocomio
55,Spar Premium; Frey
56,Suchard
57,Swiss Confisa
58,Swiss Dream
59,Tablette d'Or
60,The First Chocolate
61,Torras
62,Valor Chocolates
63,Villars
64,Vosges Haut Chocolat
65,Wagner
